GHGRP ID,Landfill ID,Landfill Name,State,City,County,Ownership Type,Landfill Owner Organization(s),Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1004011,184,Keller Canyon LF,CA,Pittsburg,Contra Costa,Private,"Republic Services, Inc.","24,405,474",2022,Yes,4.724,3.279,241-0,Operational,Project #1,8/1/2009,Electricity,Reciprocating Engine,,(2) GE Jenbacher engines; LFG is filtered and dried,2.84,3.8,1.45,"Alameda Municipal Power; City of Palo Alto, CA","Ameresco, Inc.",,GE Energy - Jenbacher Gas Engines,No,0.1437,0.0138
1004037,265,Kiefer LF,CA,Sloughhouse,Sacramento,Public,"Sacramento County, CA","34,481,556",2022,Yes,7.837,0.37,324-0,Operational,Project #1 (KLG I),1/1/1999,Electricity,Reciprocating Engine,,3 Caterpillar 3616 engines,7.26,9.15,4.56,Sacramento Municipal Utility District (SMUD),"Aria Energy, LLC","Sacramento County, CA","Caterpillar, Inc.",No,0.3674,0.0353
1004037,265,Kiefer LF,CA,Sloughhouse,Sacramento,Public,"Sacramento County, CA","34,481,556",2022,Yes,7.837,0.37,324-1,Operational,"Project #1, Expansion #1 (KLG II)",1/1/2006,Electricity,Reciprocating Engine,,2 Caterpillar 3616 engines,5.6,6.1,3.2,Sacramento Municipal Utility District (SMUD),"Aria Energy, LLC; DTE Vantage",DTE Vantage; Energy Power Partners,"Caterpillar, Inc.",No,0.2834,0.0272
1006107,201,Lopez Canyon SLF,CA,Sylmar,Los Angeles,Public,"City of Los Angeles, Bureau of Sanitation, CA","19,103,290",1996,Yes,1.508,0.297,258-0,Shutdown,Project #1,1/5/1999,Electricity,Reciprocating Engine,,(2) 3616 Caterpillar engines,5.14,6,2.98,Target Corporation,Cambrian Energy,Fortistar Methane Group,"Caterpillar, Inc.",No,0.0000,0.0000
1006107,201,Lopez Canyon SLF,CA,Sylmar,Los Angeles,Public,"City of Los Angeles, Bureau of Sanitation, CA","19,103,290",1996,Yes,1.508,0.297,258-1,Operational,"Project #1, De-Expansion #1",1/1/2017,Electricity,Reciprocating Engine,,(1) 3616 Caterpillar engine,2.49,3,1.15,Target Corporation,Cambrian Energy,Fortistar Methane Group,"Caterpillar, Inc.",No,0.1260,0.0121
,337,Mission Hills,CA,Los Angeles,Los Angeles,Private,American Golf Corp.; Barclay Hollander,"21,310,000",,Yes,4,,166991-0,Operational,Project #1,1/1/1984,Electricity,Combined Cycle,,4.5-mile pipeline delivers LFG to (2) 14.5 MW combustion turbine generators fueled by 65% NG/35% LFG and (1) condensing steam turbine electric generator,7.5,29,2.88,UCLA Facilities Management,,SCS Engineers,,No,0.3795,0.0364
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,201366-0,Operational,Project #2,12/31/2020,Renewable Natural Gas,Vehicle Fuel,Local Use,,,,,,,,,Unknown,0.0000,0.0000
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-0,Shutdown,Project #1,1/1/1983,Electricity,Reciprocating Engine,,Original project: 2 Waukesha engine generators,1.2,,,Monterey Peninsula SLF; Pacific Gas and Electric Company (PG&E),"Biogas Energy Solutions, LLC",,General Electric - Distributed Power,No,0.0000,0.0000
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-1,Shutdown,"Project #1, Expansion #1",1/1/1994,Electricity,Reciprocating Engine,,Expansion: (1) Caterpillar 3516,0.8,0.8,,Monterey Peninsula SLF; Pacific Gas and Electric Company (PG&E),"Biogas Energy Solutions, LLC",,"Caterpillar, Inc.",No,0.0000,0.0000
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-2,Shutdown,"Project #1, Expansion #2",1/1/1997,Electricity,Reciprocating Engine,,Expansion: GE-Jenbacher 320 engine,0.987,,,"Monterey Regional Waste Management District, CA; Pacific Gas and Electric Company (PG&E)","Biogas Energy Solutions, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0000,0.0000
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-3,Operational,"Project #1, Expansion #3",1/1/1998,Electricity,Reciprocating Engine,,Replacement: GE-Jenbacher 320 engine replaced an original Waukesha engine.,0.987,,,"Monterey Regional Waste Management District, CA","Biogas Energy Solutions, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0499,0.0048
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-4,Operational,"Project #1, Expansion #4",1/1/2002,Electricity,Reciprocating Engine,,Replacement: GE-Jenbacher 320 engine replaced an original Waukesha engine.,1.057,,,"Monterey Regional Waste Management District, CA","Biogas Energy Solutions, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0535,0.0051
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-5,Operational,"Project #1, Expansion #5",1/1/2006,Electricity,Cogeneration,,Replacement: (1) Caterpillar 3520 replaced Caterpillar 3516,1.6,1.6,,"Monterey Regional Waste Management District, CA","Biogas Energy Solutions, LLC",,"Caterpillar, Inc.",No,0.0810,0.0078
1004550,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA","14,154,230",2022,Yes,2.824,1.054,274-6,Operational,"Project #1, Expansion #6",1/1/2009,Electricity,Reciprocating Engine,,Replacement: GE-Jenbacher 420 replaced GE-Jenbacher 320,1.4,,,"Monterey Regional Waste Management District, CA","Biogas Energy Solutions, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0708,0.0068
1004052,220,Neal Road Recycling and Waste Facility,CA,Paradise,Butte,Public,"Butte County, CA","7,388,518",2022,Yes,1.342,0.286,277-0,Operational,Project #1,2/13/2013,Electricity,Reciprocating Engine,,(1) GE Jenbacher 420 engine,1.69,2.3,1.057,Alameda Municipal Power,"Ameresco, Inc.","Ameresco, Inc.",GE Energy - Jenbacher Gas Engines,No,0.0855,0.0082
1007558,20794,North Miramar SLF,CA,San Diego,San Diego,Public,"City of San Diego, CA","6,901,184",1983,Yes,0.042,,271-0,Operational,Combination Project #1 (MBC Cogen),6/30/1997,Electricity,Cogeneration,,"plant with (8) 800-kW Caterpillar 3516 engines produces 6.4 MW of electricity, 10 mmBtu/hr of 180 F water, & 6 mmBtu/hr of chilled water (2.8 MW used onsite, balance sold to the grid)",6.4,6.4,4.41,City of San Diego Metro Biosolids Center; San Diego Gas & Electric Company,Minnesota Methane LLC,Fortistar Methane Group,"Caterpillar, Inc.",No,0.0324,0.0031
1007558,20794,North Miramar SLF,CA,San Diego,San Diego,Public,"City of San Diego, CA","6,901,184",1983,Yes,0.042,,271-1,Operational,"Combination Project #1, Expansion #1 (MP2)",6/14/2012,Electricity,Reciprocating Engine,,"(2) Caterpillar G3520C engines provide 51% of MCAS' base energy load, new 6.5-mile power line delivers electricity to MCAS",3.2,3.2,1.73,Marine Corp Air Station Miramar (MCASM),Fortistar Methane Group,Fortistar Methane Group,"Caterpillar, Inc.",No,0.0162,0.0016
